drug,creationDate,type,status,targets
DB10791,2015-12-01,biotech,approved,NA
DB10792,2015-12-01,biotech,approved,NA
DB10793,2015-12-01,biotech,approved,NA
DB10795,2015-12-01,biotech,approved,NA
DB10796,2015-12-01,biotech,approved,NA
DB10797,2015-12-01,biotech,approved,NA
DB10798,2015-12-01,biotech,approved,NA
DB10799,2015-12-01,biotech,approved,NA
DB10800,2015-12-01,biotech,approved,NA
DB10801,2015-12-01,biotech,approved,NA
DB10802,2015-12-01,biotech,approved,NA
DB10803,2015-12-01,biotech,approved,NA
DB10804,2015-12-01,biotech,approved,NA
DB10805,2015-12-01,biotech,approved,NA
DB10807,2015-12-01,biotech,approved,NA
DB10808,2015-12-01,biotech,approved,NA
DB10809,2015-12-01,biotech,approved,NA
DB10810,2015-12-01,biotech,approved,NA
DB10811,2015-12-01,biotech,approved,NA
DB10812,2015-12-01,biotech,approved,NA
DB10813,2015-12-01,biotech,approved,NA
DB10814,2015-12-01,biotech,approved,NA
DB10815,2015-12-01,biotech,approved,NA
DB10816,2015-12-01,biotech,approved,NA
DB10817,2015-12-01,biotech,approved,NA
DB10818,2015-12-01,biotech,approved,NA
DB10819,2015-12-01,biotech,approved,NA
DB10820,2015-12-01,biotech,approved,NA
DB10821,2015-12-01,biotech,approved,NA
DB10822,2015-12-01,biotech,approved,NA
DB10823,2015-12-01,biotech,approved,NA
DB10824,2015-12-01,biotech,approved,NA
DB10825,2015-12-01,biotech,approved,NA
DB10826,2015-12-01,biotech,approved,NA
DB10827,2015-12-01,biotech,approved,NA
DB10828,2015-12-01,biotech,approved,NA
DB10829,2015-12-01,biotech,approved,NA
DB10830,2015-12-01,biotech,approved,NA
DB10831,2015-12-01,biotech,approved,NA
DB10832,2015-12-01,biotech,approved,NA
DB10833,2015-12-01,biotech,approved,NA
DB10834,2015-12-01,biotech,approved,NA
DB10835,2015-12-01,biotech,approved,NA
