drug,creationDate,type,status,targets
DB10836,2015-12-01,biotech,approved,NA
DB10837,2015-12-01,biotech,approved,NA
DB10838,2015-12-01,biotech,approved,NA
DB10839,2015-12-01,biotech,approved,NA
DB10840,2015-12-01,biotech,approved,NA
DB10841,2015-12-01,biotech,approved,NA
DB10842,2015-12-01,biotech,approved,NA
DB10843,2015-12-01,biotech,approved,NA
DB10844,2015-12-01,biotech,approved,NA
DB10845,2015-12-01,biotech,approved,NA
DB10846,2015-12-01,biotech,approved,NA
DB10847,2015-12-01,biotech,approved,NA
DB10848,2015-12-01,biotech,approved,NA
DB10849,2015-12-01,biotech,approved,NA
DB10850,2015-12-01,biotech,approved,NA
DB10851,2015-12-01,biotech,approved,NA
DB10852,2015-12-01,biotech,approved,NA
DB10853,2015-12-01,biotech,approved,NA
DB10856,2015-12-01,biotech,approved,NA
DB10857,2015-12-01,biotech,approved,NA
DB10858,2015-12-01,biotech,approved,NA
DB10859,2015-12-01,biotech,approved,NA
DB10860,2015-12-01,biotech,approved,NA
DB10861,2015-12-01,biotech,approved,NA
DB10862,2015-12-01,biotech,approved,NA
DB10864,2015-12-01,biotech,approved,NA
DB10865,2015-12-01,biotech,approved,NA
DB10866,2015-12-01,biotech,approved,NA
DB10867,2015-12-01,biotech,approved,NA
DB10868,2015-12-01,biotech,approved,NA
DB10869,2015-12-01,biotech,approved,NA
DB10870,2015-12-01,biotech,approved,NA
DB10871,2015-12-01,biotech,approved,NA
DB10872,2015-12-01,biotech,approved,NA
DB10873,2015-12-01,biotech,approved,NA
DB10874,2015-12-01,biotech,approved,NA
DB10875,2015-12-01,biotech,approved,NA
DB10876,2015-12-01,biotech,approved,NA
DB10877,2015-12-01,biotech,approved,NA
DB10879,2015-12-01,biotech,approved,NA
DB10880,2015-12-01,biotech,approved,NA
DB10881,2015-12-01,biotech,approved,NA
DB10882,2015-12-01,biotech,approved,NA
